postalcode,avgPrice,avgSurfaceArea,avgPricePerSquareMeter
1011,936444,207,4589
1012,843188,186,4666
1013,597400,108,5962
1015,1123211,213,5228
1016,1392000,333,4230
1017,1606519,271,5813
1018,987083,216,4588
1019,593913,146,4060
1022,190102,62,3297
1023,532636,124,4001
1024,360772,139,2558
1025,372826,127,2982
1026,1025571,153,6797
1027,646500,147,4507
1032,216500,89,2544
1033,243274,96,2659
1034,386103,132,2897
1035,383140,124,3129
1036,380200,130,2937
1054,1745000,433,3982
1058,987500,255,4421
1060,380598,150,2541
1063,275154,103,2599
1064,329377,129,2582
1065,316948,108,2842
1066,390072,134,2819
1067,439822,159,2557
1068,455600,167,2638
1069,307980,120,2537
1071,2452273,411,6125
1074,635400,126,5167
1075,2100667,385,5805
1077,1781176,244,7197
1078,1203750,219,5496
1079,1393500,192,7084
1081,633431,173,3702
1082,730308,146,4595
1083,733722,179,3766
1086,515814,147,3500
1087,623283,168,3611
1097,837667,194,4243
1098,875250,215,3995